,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Shwangtianyuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,526.0,1782.0,3841.0,4223.0,4042,1283
Smallpei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2408,228
Snghrax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3996,1378
Stang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5360.0,4281.0,1034,319
Staph aureus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,35.0,59.0,8.0,13.0,11.0,28,8
StevenK234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7971.0,11879.0,18494,3347
Subscriptshoe9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,291.0,6127.0,3981.0,2144,406
SyaNHs,0.0,0.0,0.0,0.0,0.0,0.0,107.0,11554.0,5754.0,2326.0,734.0,895.0,357.0,649.0,78,8
SzMithrandir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,603.0,1730.0,3553.0,377.0,546,555
T.A_Shirakawa,0.0,0.0,26.0,691.0,1012.0,2874.0,2462.0,5232.0,3437.0,5253.0,3728.0,1605.0,1998.0,747.0,653,7
TSVC1190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,24.0,177.0,967.0,841,71
TaiwanAlex1,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,2629.0,1459.0,780.0,199.0,2043.0,1954.0,1111,0
Tanimodori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,1406,4
Tb095811zhwiki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2152.0,10453.0,2202.0,451,0
Techyan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1325.0,1388.0,2192.0,6687.0,2446,1435
Temp3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,179.0,773.0,2291.0,1794.0,703.0,1706,205
The_powder_toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2060.0,2134.0,386.0,35.0,160,0
Theodore_Xu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3146,1567
Tigerzeng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,1580.0,5091.0,6531,1999
Vanished user 1929210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,4211.0,3785,0
Vinct_1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,589.0,343.0,99.0,153,9
WAN233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,891,32
WQL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,117.0,53.0,99.0,6948,5406
Waihorace,0.0,0.0,0.0,0.0,0.0,200.0,2085.0,21073.0,12664.0,8323.0,4234.0,145.0,126.0,123.0,129,0
Walter_Grassroot,0.0,0.0,0.0,0.0,0.0,139.0,11823.0,10552.0,12001.0,18987.0,10008.0,10877.0,7567.0,2447.0,11661,6027
Wcam,0.0,0.0,0.0,0.0,187.0,2880.0,9818.0,2903.0,145.0,216.0,787.0,1456.0,5903.0,6879.0,8764,2803
Wetrace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3118.0,3979.0,2083.0,4486.0,4303.0,659,355
Whaterss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,2594.0,0.0,665,0
WhitePhosphorus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2233.0,916.0,358.0,8935,620
Wikijjj0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1513.0,633,1
Wildcursive,0.0,0.0,0.0,0.0,0.0,163.0,24.0,25.0,3165.0,4583.0,9031.0,3146.0,1732.0,1735.0,887,509
WilliamSkyWalk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,105.0,35.0,6.0,4219.0,474,16
Winertai,0.0,0.0,0.0,16394.0,6521.0,3234.0,1835.0,1163.0,2510.0,413.0,411.0,199.0,303.0,356.0,284,54
Wolfch,0.0,0.0,0.0,1194.0,988.0,262.0,3377.0,6160.0,6484.0,6940.0,10858.0,9208.0,9894.0,13392.0,15641,4055
Wong128hk,0.0,0.0,0.0,408.0,4410.0,6146.0,11134.0,2476.0,3278.0,821.0,1191.0,1249.0,1798.0,282.0,8499,2469
Xiplus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2072.0,202.0,27.0,8348.0,16326,5168
Y814756748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3059.0,2538.0,1426.0,1428.0,800,757
You_are_my_everything_Taipei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,17
Z1148059382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,2.0,9.0,1.0,19,0
Z7504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,1355.0,6690.0,16860,5809
ZEdzEd3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,2870,395
Zhangguozhen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,55,1
Zhanghui66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,197.0,47,29
Zhangzj_cet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,211.0,1148.0,879.0,1063.0,183.0,237,54
Zhxy_519,0.0,0.0,1.0,40.0,645.0,1561.0,2108.0,2435.0,3563.0,3188.0,1103.0,1756.0,485.0,348.0,718,44
丁子君,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.0,1061,70
佛壁灯,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,594,71
写字板,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3068.0,1159.0,674,11
南极熊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.0,1537,1199
卡達,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,23.0,49.0,298.0,1376.0,1203.0,3757,813
和平奮鬥救地球,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1684.0,20252.0,22172.0,3946,0
嘀嘀嘀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,275.0,32.0,7,0
坚决杀毒2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,1383.0,289,250
太子太保啦啦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,3220.0,1220.0,987,553
守望者爱孟,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7024.0,170.0,0.0,26.0,1043,0
宋世怡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,789,111
宋仲慧,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,330,36
小躍,0.0,0.0,0.0,0.0,0.0,0.0,2092.0,266.0,2010.0,178.0,412.0,2171.0,12379.0,12817.0,5003,943
彭鹏,0.0,0.0,1479.0,289.0,617.0,662.0,430.0,847.0,3731.0,962.0,1141.0,1926.0,179.0,97.0,630,368
我乃野云鹤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,719.0,1378.0,135.0,0.0,1164,347
星巴克女王,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,2420.0,8664,270
星耀晨曦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985.0,1842,212
春卷柯南,0.0,0.0,0.0,0.0,21.0,828.0,534.0,123.0,1466.0,624.0,1424.0,2976.0,3939.0,2914.0,2108,539
暖城2016-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4234.0,8097,95
李4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3711.0,2516.0,370,0
杰里毛斯,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281,19
樑桂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,601.0,405.0,24.0,636.0,1200,14
武藏,0.0,0.0,0.0,4260.0,4687.0,86.0,28.0,15.0,788.0,1326.0,1450.0,617.0,964.0,270.0,747,75
油条烧饼麻花,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,631.0,864.0,361,127
淺藍雪,0.0,0.0,0.0,0.0,0.0,0.0,61.0,43.0,15.0,726.0,11703.0,8476.0,13320.0,9012.0,6949,3380
